method,q_decile,coverage,avg_len,n_rep,q_min,q_max,mcse
Naive-iid-DML,0,0.967948717948718,0.3158194487417752,156,74889.07478440547,170385.7200454385,0.014102190539550578
Naive-iid-DML,1,0.9453551912568307,0.33538902127924775,183,170596.31599622424,180383.00650008037,0.01680143657997062
Naive-iid-DML,2,0.965,0.3434901806174598,200,180393.386349566,187922.65518489483,0.012995191418367032
Naive-iid-DML,3,0.9383886255924171,0.3505439630014595,211,187929.0070630068,195860.7283280976,0.016553147629715166
Naive-iid-DML,4,0.9594594594594594,0.3591784659867451,222,195885.859827834,208746.6184201867,0.013236756957209736
Naive-iid-DML,5,0.9375,0.3778138438038905,176,208877.4606592856,243590.9071408364,0.018246069003785694
Naive-iid-DML,6,0.9562841530054644,0.4103089347287718,183,243872.4862751312,277535.71677546384,0.015114277207254645
Naive-iid-DML,7,0.96,0.43129146840300175,200,277640.22103299963,305432.5871287287,0.013856406460551024
Naive-iid-DML,8,0.9684684684684685,0.45273284935079633,222,305466.43216643034,337587.4539905993,0.011728400513592693
Naive-iid-DML,9,0.9352226720647774,0.4852995228285344,247,337842.80901865615,471966.5475279509,0.015661038290199863
SN-AIPW,0,0.9795081967213115,0.31751268450066106,244,76764.48775277477,170355.84474630922,0.009069831382087095
SN-AIPW,1,0.9631336405529954,0.3350603847455094,217,170425.72923449747,180366.7833995027,0.012791707961489044
SN-AIPW,2,0.915,0.34304441930510626,200,180409.9301886433,187850.5949954349,0.019719913792915014
SN-AIPW,3,0.9365079365079365,0.3502506371761842,189,187936.43567984263,195849.79808898165,0.01773717904439208
SN-AIPW,4,0.9606741573033708,0.3588809551386115,178,195885.53293809624,208860.6511264977,0.014568574921405777
SN-AIPW,5,0.96875,0.37915497396819287,224,208972.61840100033,243697.5531520376,0.011625372017856952
SN-AIPW,6,0.9308755760368663,0.40814424835152213,217,243749.02982001723,277339.1889443177,0.01721994315555771
SN-AIPW,7,0.97,0.4314704825562494,200,277727.0094387445,305380.52311180055,0.012062338081814825
SN-AIPW,8,0.9775280898876404,0.4530795982805928,178,305555.9951784687,337301.64491146675,0.01110899103628077
SN-AIPW,9,0.934640522875817,0.48534952758395333,153,337624.3566945193,483779.52512501663,0.019981628142629
