n,n_eff,method,coverage,avg_len,n_rep,mcse
250,200,Fixed-V,0.944,1.549487580761404,1000,0.007270763371201131
250,200,Regime-Fixed,0.95,1.5150104611222166,1000,0.006892024376045114
250,200,SN,0.955,1.5055925993377821,1000,0.00655553201502365
500,450,Fixed-V,0.939,1.0329917205076027,1000,0.007568289106528638
500,450,Regime-Fixed,0.95,1.0033537334193783,1000,0.006892024376045114
500,450,SN,0.957,1.0015397676875981,1000,0.006414904519944161
1000,950,Fixed-V,0.938,0.7109536609273974,1000,0.00762600813007697
1000,950,Regime-Fixed,0.948,0.6965434194482749,1000,0.007021111023192843
1000,950,SN,0.948,0.6956557442114515,1000,0.007021111023192843
2000,1950,Fixed-V,0.947,0.49623317130246886,1000,0.007084560677981384
2000,1950,Regime-Fixed,0.941,0.476832590370375,1000,0.007451107300260817
2000,1950,SN,0.946,0.4764731529119271,1000,0.0071473071852271785
5000,4950,Fixed-V,0.941,0.3114587225879446,1000,0.007451107300260817
5000,4950,Regime-Fixed,0.96,0.3029854626822024,1000,0.00619677335393187
5000,4950,SN,0.959,0.30277323855851723,1000,0.006270486424512857
