n,n_eff,method,coverage,avg_len,n_rep,mcse
250,250,Fixed-V,0.954,1.0371154563472456,1000,0.006624499981130654
250,250,SN,0.952,1.0383875406604433,1000,0.006759881655768837
500,500,Fixed-V,0.949,0.7333513720565181,1000,0.006956938982052382
500,500,SN,0.953,0.7333422160652602,1000,0.00669260786241059
1000,1000,Fixed-V,0.957,0.5185577281736227,1000,0.006414904519944161
1000,1000,SN,0.955,0.5177671954993723,1000,0.00655553201502365
2000,2000,Fixed-V,0.953,0.366675686028259,1000,0.00669260786241059
2000,2000,SN,0.953,0.3664476293377596,1000,0.00669260786241059
5000,5000,Fixed-V,0.947,0.2319060660908156,1000,0.007084560677981384
5000,5000,SN,0.947,0.23191334799555244,1000,0.007084560677981384
