n,n_eff,method,coverage,avg_len,reject_rate,n_rep,mcse
250,200,SN-AIPW-LeakyFull,0.821,1.8641934650391538,0.179,1000,0.012122664723566351
250,200,SN-AIPW-Predictable,0.952,0.6532335444654266,0.048,1000,0.006759881655768837
250,200,SN-IPW,0.939,0.7658467112127489,0.061,1000,0.007568289106528638
500,400,SN-AIPW-LeakyFull,0.887,0.3981794625594842,0.113,1000,0.010011543337567888
500,400,SN-AIPW-Predictable,0.953,0.42938439910581633,0.047,1000,0.00669260786241059
500,400,SN-IPW,0.958,0.5251852119995173,0.042,1000,0.006343185319695463
1000,800,SN-AIPW-LeakyFull,0.928,0.27365891163285283,0.072,1000,0.00817410545564467
1000,800,SN-AIPW-Predictable,0.948,0.2904911931669355,0.052,1000,0.007021111023192843
1000,800,SN-IPW,0.947,0.3597000263332605,0.053,1000,0.007084560677981384
2000,1600,SN-AIPW-LeakyFull,0.944,0.19543535456807085,0.056,1000,0.007270763371201131
2000,1600,SN-AIPW-Predictable,0.957,0.2017287365013363,0.043,1000,0.006414904519944161
2000,1600,SN-IPW,0.962,0.25073445839759584,0.038,1000,0.006046155803483734
5000,4000,SN-AIPW-LeakyFull,0.941,0.12448367603786308,0.059,1000,0.007451107300260817
5000,4000,SN-AIPW-Predictable,0.944,0.12605957722721384,0.056,1000,0.007270763371201131
5000,4000,SN-IPW,0.951,0.15700272503677762,0.049,1000,0.006826346021115546
